mệnh 127
quặc 49
quạc 48
quác 43
quắc 102
rích 49
rịch 4
siếc 50
mèng 48
đó 155
đõ 48
do 155
dô 100
dò 134
dó 112
dơ 137
đỡ 154
đổ 153
đơ 144
đò 108
đô 146
đo 148
đợ 46
đố 133
đồ 154
đỗ 139
độ 154
đớ 50
đờ 102
đọ 135
đỏ 149
dợ 28
dỡ 129
dỏ 7
dọ 49
dở 150
dờ 15
dớ 52
dỗ 105
dồ 48
đĩ 129
di 154
dì 143
dí 134
dĩ 144
đì 112
đi 155
dị 141
sụp 134
súp 103
đa 154
dã 142
dà 48
đá 154
đà 145
đã 155
đả 129
dả 44
dạ 146
da 154
dá 18
du 151
dù 155
dư 151
đù 54
đu 137
đủ 155
đứ 101
đừ 50
đử 3
dữ 153
dử 48
dừ 49
dứ 52
dụ 144
dự 154
bát 148
bất 155
bạt 113
bắt 154
bật 152
bặt 55
báu 113
bầu 150
bâu 110
bấu 98
bàu 54
bảu 40
bạu 30
bậu 55
bẩu 134
khỉnh 27
khinh 147
bạp 2
bắp 146
bập 114
bấp 49
bặp 28
bay 153
bầy 139
bây 155
bấy 136
bày 150
bảy 134
bậy 147
bẫy 136
bẩy 49
bác 155
bấc 48
bạc 145
bắc 151
bậc 146
rúng 50
rụng 138
rửng 48
rùng 111
rung 141
rừng 147
rưng 54
rựng 51
rủng 102
bẳn 55
bằn 49
bán 155
băn 128
ban 154
bẩn 151
bần 136
bấn 117
bàn 154
bản 153
bạn 155
bắn 150
bận 150
bặn 44
báo 155
bão 146
bao 155
bào 135
bảo 155
bạo 137
bẵm 44
bẳm 28
bằm 48
bám 148
băm 120
bầm 117
bấm 152
bậm 55
bẫm 50
bẩm 115
bặm 50
bãi 144
bái 136
bai 148
bài 155
bải 112
bại 135
nuy 48
núp 128
nùn 51
núm 103
nùi 48
núi 148
nức 114
núc 54
nực 139
nục 53
nứa 55
nữa 155
nửa 153
nưa 114
nua 119
mứu 43
mưu 129
mứt 124
mút 124
mụt 50
múp 51
quyên 138
quyến 130
quyền 155
quyển 140
quyện 52
biết 155
biệt 142
biếu 132
biểu 151
yết 55
biếm 109
biên 143
biến 152
biện 145
biền 55
biển 151
mùa 153
mửa 54
mứa 51
múa 141
mua 155
mưa 150
mức 155
múc 141
mực 143
mục 154
mũm 49
mủm 49
múm 48
mum 50
mùn 54
mủn 51
mụn 144
mún 146
mun 106
mũi 151
mùi 150
mủi 51
múi 123
mui 98
quyết 153
quyệt 41
biếc 51
hướng 154
hưởng 151
hường 124
huống 139
hương 146
trong 155
trổng 21
trọng 145
tròng 114
trông 154
trống 146
trộng 52
trồng 149
miệng 152
miểng 52
miếng 151
chuệnh 49
chuếnh 50
cợp 49
cọp 115
cộp 44
cốp 121
cóp 113
cợt 99
cot 48
cọt 52
cột 146
cốt 139
cót 54
cộc 100
cọc 124
cốc 133
cóc 136
logic 55
cơi 54
coi 155
còi 138
côi 53
cỏi 40
cỗi 105
cội 98
cời 50
cởi 139
cối 131
cói 50
cõi 125
cỡi 49
cường 143
cuống 121
cương 125
cuồng 151
cuộng 51
cưỡng 130
cồm 54
cơm 153
com 140
còm 147
côm 50
cọm 28
cộm 100
cớm 48
cốm 52
cóm 49
cỡm 42
cơn 147
con 154
còn 155
côn 126
cọn 53
cỏn 103
cợn 43
cớn 18
cờn 49
cốn 50
cồn 122
cón 99
cỡn 47
tông 139
tỏng 21
tong 119
tồng 113
tống 135
tòng 55
tổng 152
tọng 52
ẳng 97
ậng 40
ầng 48
ắng 55
ăng 113
ằng 49
áng 54
ảng 50
ang 54
reng 53
rẻng 44
tỉnh 153
tinh 154
tính 155
tịnh 55
tĩnh 120
tình 155
chục 154
chực 107
chúc 155
chức 152
chừa 139
chứa 148
chữa 149
chửa 134
chúa 137
chua 144
chưa 155
chùa 149
ánh 153
ảnh 154
anh 155
chụm 50
chúm 54
chum 55
chũm 53
chùm 127
cung 153
cùng 155
cụng 100
cúng 141
cưng 150
củng 147
cứng 153
cũng 155
chửi 155
chúi 98
chui 146
chũi 21
chùi 118
háp 50
hập 44
hạp 106
hấp 150
chụt 98
chút 155
chụp 155
suất 136
ngụp 54
hoang 146
hoẵng 50
hoăng 3
hoảng 130
hoàng 147
hoắng 50
truật 18
truất 53
ngút 101
ngứt 48
ngụt 41
tánh 118
tành 48
tanh 106
tạnh 54
táng 112
tặng 154
tàng 55
tảng 123
tăng 155
tằng 107
tâng 137
tang 129
tầng 149
tạng 110
hoảnh 42
hoánh 100
hoạnh 52
hoành 144
ngực 146
ngúc 53
ngục 50
ngựa 142
ngụa 4
ngưa 51
ngửa 142
ngừa 104
ngứa 146
ngún 51
ngủn 21
ngùn 51
ngủm 106
ngụm 49
cảng 122
cáng 100
cẫng 40
câng 52
căng 148
cẳng 109
càng 155
ỉu 53
iu 147
ịt 52
ít 155
cảnh 154
cánh 148
canh 147
cạnh 155
cành 139
bím 51
bỉm 141
bìm 55
ỉm 52
im 150
cống 142
cọng 127
cổng 150
cong 149
cồng 123
cõng 116
còng 117
cóng 49
cộng 153
công 155
ỉa 111
hong 133
hóng 154
hòng 128
hống 52
họng 135
hồng 148
hổng 147
hông 149
hỏng 151
quáng 132
quặng 49
quảng 154
quạng 44
quang 143
quàng 125
quẳng 122
quầng 51
quãng 136
quăng 147
quẩng 54
quánh 121
quạnh 55
quanh 149
quành 52
hạnh 151
hanh 122
hành 154
hãnh 120
hánh 50
nín 125
kíp 117
kịp 153
hảng 127
hẵng 137
hạng 147
hằng 151
hang 146
hẫng 112
hăng 125
hẩng 51
hãng 155
háng 122
hàng 155
hắng 51
thướt 51
thượt 48
kĩu 50
kít 101
kịt 49
thuộm 16
kín 147
kin 48
kìn 49
kìm 128
kim 150
thuôn 48
thườn 53
thuồn 54
thuốn 48
thuỗn 49
thưỡn 51
soái 127
soài 27
thuộc 154
thuốc 154
thước 132
thược 53
bịa 140
bia 144
bìa 127
tung 154
tưng 141
tửng 138
tùng 154
từng 155
tụng 122
túng 55
nít 16
nịt 53
níu 130
niu 38
nịu 36
nghinh 44
nghĩnh 38
nghỉnh 43
thư 152
thú 150
thù 138
thu 153
thự 4
thử 154
thừ 99
thứ 155
thủ 150
thụ 130
thơ 146
thó 51
thò 131
tho 105
thở 145
thờ 141
thổ 130
thồ 53
thố 49
thỏ 127
thợ 144
thô 144
thớ 54
thọ 123
thí 144
thì 159
thi 155
thị 154
thỉ 112
thê 134
thé 115
thè 54
the 152
thế 155
thẽ 52
thẻ 152
thệ 18
thể 154
thề 143
thá 52
thà 150
tha 149
thả 147
yếm 55
yểm 55
yên 152
yến 144
toa-lét 36
yêu 155
yểu 129
yếu 153
khụt 49
hái 133
hãi 136
hại 149
hải 146
hai 155
hài 153
nuôi 154
nuối 102
ham 150
hằm 54
hẳm 51
hám 117
hẩm 54
hãm 134
hậm 98
hạm 50
hấm 52
hầm 141
hàm 137
hâm 148
hăm 118
han 110
hằn 123
hẳn 155
hấn 17
hán 127
hãn 52
hận 139
hắn 150
hạn 151
hàn 152
hân 120
hao 140
háo 131
hão 120
hảo 124
hào 142
hác 42
hắc 114
hạc 52
hay 155
háy 49
hẩy 48
hãy 155
hầy 31
hây 100
trĩnh 41
trình 154
trinh 137
trịnh 111
hát 155
hắt 122
hạt 147
hất 126
